Year,GlobalAVG,China,India,US
1970,28556.02333,967000,478000,684000
1971,29683.1119,1010000,482000,689000
1972,30470.82344,1020000,483000,693000
1973,32060.35938,1020000,491000,696000
1974,32348.80174,1030000,495000,685000
1975,32085.47282,1060000,506000,683000
1976,33489.03687,1060000,508000,680000
1977,33443.02195,1070000,517000,672000
1978,34481.18621,1070000,522000,670000
1979,33980.40682,1070000,525000,691000
1980,33694.58472,1060000,536000,694000
1981,32235.20697,1050000,547000,689000
1982,32538.58436,1050000,549000,683000
1983,32340.28446,1070000,565000,662000
1984,32018.98041,1090000,573000,680000
1985,32213.45923,1090000,579000,666000
1986,32486.11056,1110000,595000,662000
1987,32629.49385,1120000,601000,664000
1988,33734.15333,1140000,625000,665000
1989,34146.84672,1170000,639000,668000
1990,33843.62605,1180000,617000,667000
1991,33760.26841,1170000,626000,661000
1992,33762.46569,1160000,632000,666000
1993,33668.79482,1150000,637000,662000
1994,33865.71492,1150000,643000,669000
1995,34262.27041,1200000,650000,663000
1996,34715.6941,1210000,656000,655000
1997,34854.58123,1180000,662000,651000
1998,34390.60641,1170000,666000,642000
1999,34544.66451,1170000,671000,631000
2000,34878.41508,1170000,673000,626000
2001,35070.09769,1170000,680000,624000
2002,35335.30733,1180000,677000,621000
2003,36194.494,1220000,688000,618000
2004,37160.75333,1300000,700000,612000
2005,38127.50959,1400000,717000,608000
2006,39085.91969,1460000,731000,609000
2007,39839.19077,1480000,746000,613000
2008,40495.37538,1500000,765000,626000
2009,40637.24087,1530000,779000,622000
2010,41876.36549,1580000,794000,625000
2011,42688.06385,1630000,804000,644000
2012,43489.34215,1660000,815000,644000